code;descr;name
159;21Q;Lease-Out Accounting
160;2SB;Lease-Out for Sublease Accounting
161;2SA;Lease-Out for Sublease Accounting - Group Ledger IFRS
162;34O;Lease-Out for Sublease Accounting - Group Ledger US GAAP
163;3F4;Sales-Based Rent
164;21R;Service Contract
165;J58;Accounting and Financial Close
166;1QM;Advanced Credit Management
167;BD6;Basic Credit Management
168;BFC;Collections and Dispute Management
169;1RY;Credit Agency Integration
170;4Q2;External Tax Calculation
171;5Z8;Tax Posting Proposal
172;5IS;VAT Tax Calculation and Reporting for Belgium
173;5Z2;VAT Tax Calculation and Reporting for Czech Republic
174;55U;VAT Tax Calculation and Reporting for Germany
175;5Z0;VAT Tax Calculation and Reporting for South Africa
176;5Z1;VAT Tax Calculation and Reporting for Sweden
177;33Q;Actual Costing
178;6GD;Engineer Products and Systems - Project with Production
179;3F0;Event-Based Production Cost Posting
180;1HB;Financial Plan Data Upload from File
181;2FM;Financial Planning and Analysis
182;5W2;Group Valuation
183;4RC;Integrated Financial Planning
184;J55;Margin Analysis
185;J54;Overhead Cost Accounting
186;4Q0;Predictive Accounting for Travel and Expense Management
187;30K;Predictive Analytics Model Training - Finance
188;2I3;Predictive Commitments Management
189;61W;Product Cost Related Master Data Changes - Consumer Products
190;5OI;Production Capacity Evaluation and Leveling - Consumer Products
191;1NT;Project Control - Finance
192;4I9;Project Control – Sales
193;BEG;Standard Cost Calculation
194;34B;Statistical Sales Conditions
195;1W4;Subsidiary Integration of SAP S/4HANA Cloud to Central Finance
196;2QL;Universal Allocation
197;3AB;Automated Provisioning via SAP Cloud Identity Access Governance
198;2U3;Classification for Customs Tariff Number and Commodity Code
199;24J;Compliance Management with SAP Global Trade Services
200;2OH;Continuous Control Monitoring with SAP Process Control
201;2U1;Customs Management with SAP Global Trade Services
202;1WC;Embargo Control
203;3KY;Financial Operation Monitoring with SAP Financial Compliance
204;5W6;Foreign Trade for Procurement
205;BDT;Intrastat Processing
206;5PA;Intrastat Processing for Belgium
207;5Z4;Intrastat Processing for Czech Republic
208;5OL;Intrastat Processing for Germany
209;5Z3;Intrastat Processing for Sweden
210;2U2;Key Risk Indicator Monitoring with SAP Risk Management
211;1W8;Legal Control
212;3JX;Preference Management with SAP Global Trade Services
213;3KX;Privacy Risk Detection with SAP Privacy Governance
214;1WE;Restricted Party Screening with SAP Watch List Screening
215;24H;Transfer of Bill of Materials for SAP Global Trade Services
216;24F;Transfer of Contact Person for SAP Global Trade Services
217;1WA;Transfer of Primary Master Data for SAP Global Trade Services
218;5IM;Product Footprint Management
219;J60;Accounts Payable
220;J59;Accounts Receivable
221;4X8;Advanced Bank Statement Automation
222;2LH;Automated Invoice Settlement
223;55F;Automotive Supply To Customer - Inventory Management
224;1WQ;Bill of Exchange
225;1MV;Cash Application Integration
226;2UT;Complementary Invoice – Pricing
227;1S0;Customer Payments
228;1S2;Digital Payments
229;19M;Direct Debit
230;2RP;Electronic Documents
231;6GD;Engineer Products and Systems - Project with Production
232;2M0;External Customer Payments
233;2LZ;External Digital Payments
234;2UP;Fixed Asset Tax Credit
235;2MB;Integration of Payment Advice with Buyers and Suppliers
236;3JK;Integration of SAP S/4HANA Cloud to SAP Tax Declaration Framework
237;43D;Integration with External Tax Calculation Engines
238;1J5;Invoice, Taxes and Complementary Postings
239;1JT;Lockbox
240;55E;Lot Size of One with Advanced Variant Configuration
241;54U;Produce and Sell Standard Products - Inventory Management
242;54V;Produce and Sell Standard Products - Warehouse Managed
243;2PD;Provisioning of Overdue Receivables
244;55I;Royalties Settlement for Sales
245;2JB;SAP Fiori Analytical Apps for Financial Accounting
246;1W4;Subsidiary Integration of SAP S/4HANA Cloud to Central Finance
247;4AV;Supplier Financing
248;1M1;Travel Expense Processing with SAP Concur Expense Professional
249;5VX;Enable for Use and Contract Management
250;5YU;Enable for Use and Contract Management - Group Ledger IFRS
251;63Q;Enable for Use and Contract Management - Group Ledger US GAAP
252;5VY;External Occupancy and Contract Management
253;5YV;External Occupancy and Contract Management - Group Ledger IFRS
254;63R;External Occupancy and Contract Management - Group Ledger US GAAP
255;4X3;Integration of SAP S/4HANA and SAP Cloud for Real Estate
256;5W0;Intercompany Occupancy and Contract Management
257;5YW;Intercompany Occupancy and Contract Management - Group Ledger IFRS
258;63S;Intercompany Occupancy and Contract Mgmt - Group Ledger US GAAP
259;2O9;Intercompany Process for Sublease Accounting
260;5VZ;Internal Occupancy and Cost Allocation
261;1T6;Lease-In Accounting
262;21P;Lease-In Accounting - Group Ledger IFRS
263;34N;Lease-In Accounting - Group Ledger US GAAP
264;21Q;Lease-Out Accounting
265;2SB;Lease-Out for Sublease Accounting
266;2SA;Lease-Out for Sublease Accounting - Group Ledger IFRS
267;34O;Lease-Out for Sublease Accounting - Group Ledger US GAAP
268;6N8;Real Estate Cost Settlement
269;3F4;Sales-Based Rent
270;21R;Service Contract
271;47I;Contract Accounting - Cash Application
272;2DP;Contract Accounting - Company Initiated Payments
273;3L3;Contract Accounting - Contract-Based Revenue Recognition
274;2BI;Contract Accounting - Customer Initiated Payments
275;2BK;Contract Accounting - Daily and Monthly Closing
276;3L8;Contract Accounting - Enabling of Products with Variant Configuration
277;2SJ;Contract Accounting - External Tax Audit and Compliance Reporting
278;33X;Contract Accounting - Group Ledger IFRS
279;33V;Contract Accounting - Group Ledger US GAAP
280;43Y;Contract Accounting - Integration with Sales Documents
281;2AR;Contract Accounting - Master Data and Basic Functions
282;2UJ;Contract Accounting - Open Item Management
283;2BE;Convergent Invoicing - Invoice Correction Processing
284;2BG;Convergent Invoicing - Invoice Creation for Usage and Service
285;3DX;Convergent Invoicing - Management and Rating of Consumption Items
286;2T3;Convergent Invoicing - Recurring and One-Off Items
287;42L;Convergent Invoicing - Revenue Sharing and Partner Settlement
288;2KH;SAP Fiori Analytical Apps for Contract Accounting Manager
289;2KF;SAP Fiori Analytical Apps for Convergent Invoicing Specialist
290;5IK;Subscription Management with Convergent Invoicing
291;J77;Advanced Bank Account Management
292;4X8;Advanced Bank Statement Automation
293;J78;Advanced Cash Operations
294;4MT;Advanced Payment Management
295;2YM;Application Interface to Retrieve Payment Files
296;6B5;Asset-Backed Securities Management
297;6B6;Asset-Backed Securities Management - Group Ledger IFRS
298;6B7;Asset-Backed Securities Management - Group Ledger US GAAP
299;1S4;Automatic Market Rates Management
300;2O0;Bank Fee Management
301;2NZ;Bank Guarantee Management
302;2O2;Bank Guarantee Management - Group Ledger IFRS
303;34F;Bank Guarantee Management - Group Ledger US GAAP
304;1EG;Bank Integration with File Interface
305;16R;Bank Integration with SAP Multi-Bank Connectivity
306;BFA;Basic Bank Account Management
307;BFB;Basic Cash Operations
308;3WY;Bond Management
309;3WZ;Bond Management - Group Ledger IFRS
310;3X0;Bond Management - Group Ledger US GAAP
311;1WV;Debt and Investment Management
312;1X7;Debt and Investment Management - Group Ledger IFRS
313;34C;Debt and Investment Management - Group Ledger US GAAP
314;1X1;Foreign Currency Risk Management
315;1X9;Foreign Currency Risk Management - Group Ledger IFRS
316;34D;Foreign Currency Risk Management - Group Ledger US GAAP
317;1XD;Hedge Accounting for FX Forward - Group Ledger IFRS
318;3X3;Hedge Accounting for FX Forward - Group Ledger US GAAP
319;3X1;Hedge Accounting for FX Forward - Local GAAP
320;2RW;Hedge Accounting for FX Option - Group Ledger IFRS
321;3X4;Hedge Accounting for FX Option - Group Ledger US GAAP
322;3X2;Hedge Accounting for FX Option - Local GAAP
323;2UF;Hedge Accounting for FX Swap - Group Ledger IFRS
324;6BP;In-House Banking
325;2OI;Intercompany Debt and Investment Mgmt - Group Ledger IFRS
326;34L;Intercompany Debt and Investment Mgmt - Group Ledger US GAAP
327;2HU;Intercompany Foreign Exchange - Group Ledger IFRS
328;34M;Intercompany Foreign Exchange - Group Ledger US GAAP
329;2F2;Intercompany Foreign Exchange Management
330;2U8;Intercompany Process for Cash Concentration
331;1YI;Intercompany Process for Debt and Investment Mgmt
332;1X3;Interest Rate Derivatives Management
333;1XB;Interest Rate Derivatives Management - Group Ledger IFRS
334;34E;Interest Rate Derivatives Management - Group Ledger US GAAP
335;49D;Letter of Credit Management
336;49E;Letter of Credit Management - Group Ledger IFRS
337;49F;Letter of Credit Management - Group Ledger US GAAP
338;3L5;Liquidity Planning
339;1XN;Market Rates Management - Manually via Upload
340;2UN;Money Market Mutual Fund Management
341;2UO;Money Market Mutual Fund Management - Group Ledger IFRS
342;34G;Money Market Mutual Fund Management - Group Ledger US GAAP
343;1MN;SAP Fiori Analytical Apps for Treasury and Risk Management
344;6ND;Securities Option Management
345;6NE;Securities Option Management - Group Ledger IFRS
346;6NF;Securities Option Management - Group Ledger US GAAP
347;5WF;Shareholding Management
348;5WG;Shareholding Management - Group Ledger IFRS
349;5WH;Shareholding Management - Group Ledger US GAAP
350;5OD;Stock Management
351;5OE;Stock Management - Group Ledger IFRS
352;5OF;Stock Management - Group Ledger US GAAP
353;3QM;Treasury Correspondence Integration with SWIFT Network
354;2F5;Treasury Trading via Trading Platforms
355;33E;Treasury Workstation Accounting Integration
356;34P;Treasury Workstation Cash Integration
357;3NA;Treasury Workstation Payment Integration
358;JB1;Core HR with SAP SuccessFactors Employee Central
359;1FD;Employee Integration - SAP S/4HANA Enablement
360;3UP;Payroll Processing with SAP ERP HCM Payroll
361;1NL;Payroll Processing with SAP SuccessFactors Employee Central Payroll
362;1Q4;Time Recording
363;J12;Time Recording - Project-Based Services
364;4AF;Workforce Management with SAP Master Data Integration
365;1LQ;Output Management
366;4C8;Compliance Management for Environment, Health and Safety
367;4XD;Emissions Management
368;54A;Health and Safety Management
369;3FP;Lean Incident Management Reporting
370;4YX;Lean Management of Change Process
371;60H;Waste Management
372;6AA;From Planning to Fulfillment – Consumer Products
373;2QW;Analytics for Production Unit - Plan/Actual Production Cost
374;55F;Automotive Supply To Customer - Inventory Management
375;BLF;Batch Management
376;2WL;Enable Manufacturing Subsidiary to Handle Assembly for Headquarter
377;6GD;Engineer Products and Systems - Project with Production
378;3UK;Inbound Storage Tank Management - Process Manufacturing
379;55E;Lot Size of One with Advanced Variant Configuration
380;BJE;Make-to-Order Production - Finished Goods Sales and Final Assembly
381;3OK;Make-to-Order Production - Process Manufacturing
382;1BM;Make-to-Order Production - Semifinished Goods Planning and Assembly
383;4OC;Make-to-Order Production for Sales Kits with Variant Configuration
384;1YT;Make-to-Order Production with Variant Configuration
385;BJ8;Make-to-Stock - Process Manufacturing Based on Process Order
386;2UG;Make-to-Stock - Process Manufacturing Based on Production Order
387;BJ5;Make-to-Stock Production - Discrete Manufacturing
388;BJH;Make-to-Stock Production - Repetitive Manufacturing
389;21D;Make-to-Stock Production with Variant Configuration
390;3L7;Make-to-Stock with Co- and By-Products - Process Manufacturing
391;3UL;Make-to-Stock with Silo Material - Process Manufacturing
392;20N;Predictive Analytics Model Training - Supply Chain
393;4DN;Process Manufacturing Execution - SAP Digital Manufacturing Cloud
394;54U;Produce and Sell Standard Products - Inventory Management
395;54V;Produce and Sell Standard Products - Warehouse Managed
396;5OI;Production Capacity Evaluation and Leveling - Consumer Products
397;1Y5;Production Operations with Manufacturing Execution System
398;2JN;Production Operations with SAP Manufacturing Execution
399;2RU;Production Order Processing with Third-Party Warehouse Management
400;BJK;Production Subcontracting - External Processing
401;5HK;Quality Management in Discrete Manufacturing - Consumer Products
402;BJN;Rework Processing - Stock-Manufactured Material
403;BJQ;Rework Processing - Work-in-Process
404;6A9;Rework with Quality Management - Consumer Products​
405;BLL;Serial Number Management
406;21T;Subsidiary as Production Unit and Internal Supplier to Headquarters
407;42N;Tank Trailer Filling with Residuals
408;3W4;Third-Party Shop Floor Execution - Discrete Industry
409;3W3;Third-Party Shop Floor Execution - Process Industry
410;55F;Automotive Supply To Customer - Inventory Management
411;6GD;Engineer Products and Systems - Project with Production
412;6AA;From Planning to Fulfillment – Consumer Products
413;2EM;Just-In-Time Supply to Customer
414;53X;Just-In-Time Supply to Customer with Delivery Confirmation
415;55E;Lot Size of One with Advanced Variant Configuration
416;1E3;Material Replenishment with Kanban - External Procurement
417;4B3;Material Replenishment with Kanban - In-House Production
418;4B4;Material Replenishment with Kanban - Stock Transfer
419;54U;Produce and Sell Standard Products - Inventory Management
420;54V;Produce and Sell Standard Products - Warehouse Managed
421;BJK;Production Subcontracting - External Processing
422;BLL;Serial Number Management
423;BMY;Subcontracting
424;5W4;Subcontracting - Consumer Products
425;5I2;Subcontracting with Ariba Network
426;3LO;Change Manufacturing Bill of Material for Production
427;3LP;Mass Change Manufacturing Bill of Material for Production
428;61W;Product Cost Related Master Data Changes - Consumer Products
429;5HK;Quality Management in Discrete Manufacturing - Consumer Products
430;5W4;Subcontracting - Consumer Products
431;55F;Automotive Supply To Customer - Inventory Management
432;1Y2;Demand-Driven Buffer Level Management
433;2QI;Demand-Driven Replenishment Planning and Execution
434;6GD;Engineer Products and Systems - Project with Production
435;4R8;Engineer-to-Order Production with Variant Configuration
436;55E;Lot Size of One with Advanced Variant Configuration
437;BJE;Make-to-Order Production - Finished Goods Sales and Final Assembly
438;1BM;Make-to-Order Production - Semifinished Goods Planning and Assembly
439;1YT;Make-to-Order Production with Variant Configuration
440;BJ8;Make-to-Stock - Process Manufacturing Based on Process Order
441;2UG;Make-to-Stock - Process Manufacturing Based on Production Order
442;BJ5;Make-to-Stock Production - Discrete Manufacturing
443;BJH;Make-to-Stock Production - Repetitive Manufacturing
444;21D;Make-to-Stock Production with Variant Configuration
445;J44;Material Requirements Planning
446;65D;MRP Change Request Integration with Ariba Network
447;4B5;Predictive Material and Resource Planning
448;54U;Produce and Sell Standard Products - Inventory Management
449;54V;Produce and Sell Standard Products - Warehouse Managed
450;31L;Production Capacity Evaluation
451;5OI;Production Capacity Evaluation and Leveling - Consumer Products
452;3LQ;Production Capacity Leveling
453;5HK;Quality Management in Discrete Manufacturing - Consumer Products
454;2JD;SAP Fiori Analytical Apps for Production Planning
455;5W4;Subcontracting - Consumer Products
456;BLF;Batch Management
457;6AA;From Planning to Fulfillment – Consumer Products
458;55E;Lot Size of One with Advanced Variant Configuration
459;2QN;Nonconformance Management
460;54U;Produce and Sell Standard Products - Inventory Management
461;2F9;Quality Management for Complaints against Suppliers
462;2FA;Quality Management for Complaints from Customers
463;1E1;Quality Management in Discrete Manufacturing
464;5HK;Quality Management in Discrete Manufacturing - Consumer Products
465;1FM;Quality Management in Procurement
466;1MP;Quality Management in Sales
467;1MR;Quality Management in Stock Handling
468;2QP;Quality Management of Internal Problems
469;6A9;Rework with Quality Management - Consumer Products​
470;2V0;SAP Fiori Analytical Apps for Quality Management
471;5W4;Subcontracting - Consumer Products
472;6JN;Collaborative Project Management
473;6GD;Engineer Products and Systems - Project with Production
474;2Y7;Predictive Analytics Model Training - R&D/Engineering
475;35F;Project Control – Capital Projects
476;1NT;Project Control - Finance
477;4AU;Project Control – Intercompany
478;35E;Project Control – Research and Development Projects
479;4RF;Project Control - Resourcing and Procurement
480;4I9;Project Control – Sales
481;3W1;Project Data Replication to Central Finance
482;1YF;Project Review
483;3FC;Assess Dangerous Goods for a Product
484;31H;Assess Marketability of a Product
485;31G;Chemical Compliance Approval for Purchased Material and Supplier
486;31J;Chemical Compliance in the Value Chain
487;3G8;Dangerous Goods in the Value Chain
488;6MT;Label Management
489;3VR;Manage Safety Data Sheets for Products
490;6AV;Request Regulatory Documentation from Service Provider
491;3VQ;Safety Data Sheets in the Value Chain
492;4OL;Substance Volume Tracking
493;5OJ;Supplier Compliance in the Value Chain
494;22R;Advanced Ingredient Replacement for Recipes
495;64F;Bill of Material Management
496;6OT;Bill of Material Management Professional
497;4R8;Engineer-to-Order Production with Variant Configuration
498;1QC;Formulation - Recipe Development
499;2WK;Handover of Product Information to SAP Asset Intelligence Network
500;2YC;Intelligent Content Processing for Document Classification
501;55E;Lot Size of One with Advanced Variant Configuration
502;1YT;Make-to-Order Production with Variant Configuration
503;21D;Make-to-Stock Production with Variant Configuration
504;22P;Manage Documents
505;2XU;Procurement of Materials with Variant Configuration
506;5QC;Product Change Management with Change Records - Process Industries
507;64E;Product Change Mgmt with Change Records - Discrete Industries
508;1QG;Recipe Handover to Production - Bill of Material
509;2G4;Requirements Driven Development
510;22T;Set up Configurable Model using Variant Configuration
511;1QA;Specification Management for Recipes
512;5D2;Advanced Intercompany Sales
513;2QS;Analytics for Sales - Central Stock with Returns
514;4A1;Automation of Order-to-Invoice with Ariba Network
515;55F;Automotive Supply To Customer - Inventory Management
516;6JM;Basic Business Process Scheduling
517;3ZB;Billing of Costs Between Affiliated Companies
518;5FH;Business Partners for Retail
519;31J;Chemical Compliance in the Value Chain
520;2UV;Combined Invoice – Goods and Service Items
521;4X9;Create Sales Orders from Unstructured Data
522;1EZ;Credit Memo Processing
523;1IU;Customer Consignment
524;5YA;Customer Consignment with Simplified Intra-Community VAT Rules
525;BKP;Customer Returns
526;3TE;Customer Returns for Non-Stock and Service Materials
527;5CX;Customer Returns for Sales Kits
528;3QD;Customer Returns Involving Supplier by Message Exchange
529;61V;Customer Returns Management - Consumer Products
530;1Z3;Customer Returns with Direct Shipment from Customer to Supplier
531;3G8;Dangerous Goods in the Value Chain
532;1F1;Debit Memo Processing
533;2UW;Delivery of Goods on Behalf of Another Company
534;1MI;Delivery Processing without Order Reference
535;1Z1;Digital Payments - Sales
536;6GD;Engineer Products and Systems - Project with Production
537;4R8;Engineer-to-Order Production with Variant Configuration
538;1WO;Extended Intercompany Processes for Sales
539;1Z6;External Billing
540;BKA;Free Goods Processing
541;BDA;Free of Charge Delivery
542;6AA;From Planning to Fulfillment – Consumer Products
543;2EL;Integration of Sales with External Buyers
544;2F4;Intercompany Process for Customer Returns
545;1HO;Intercompany Sales Order Processing - Domestic
546;1MX;Intercompany Sales Order Processing - International
547;6GC;Intercompany Sales Order Processing - Make-to-Order
548;1P9;Intercompany Stock Transfer
549;3TD;Internal Commissions Settlement with SAP Sales Cloud
550;BKL;Invoice Correction Process with Credit Memo
551;BDQ;Invoice Correction Process with Debit Memo
552;BDD;Lean Customer Returns
553;1ZQ;Logistics with Third-Party Warehouse Management
554;1MC;Omnichannel Convergent Billing
555;1VP;Opportunity-to-Order with SAP Cloud for Customer
556;1O0;Planning Apps for Sales
557;2YJ;Predictive Analytics Model Training - Sales
558;54U;Produce and Sell Standard Products - Inventory Management
559;54V;Produce and Sell Standard Products - Warehouse Managed
560;BDW;Returnables Processing
561;3VQ;Safety Data Sheets in the Value Chain
562;2EQ;Sale of Services
563;2TT;Sales Commissions - External Sales Representative
564;I9I;Sales Contract Management
565;3HS;Sales from Distribution Center
566;1IQ;Sales Inquiry
567;BDN;Sales of Non-Stock Item with Order-Specific Procurement
568;BDH;Sales Order Entry with One-Time Customer
569;BKK;Sales Order Fulfillment Monitoring and Operations
570;BKX;Sales Order Processing - SEPA Direct Debit Handling
571;2ET;Sales Order Processing for Non-Stock Material
572;31Q;Sales Order Processing for Sales Kits
573;BKJ;Sales Order Processing with Customer Down Payment
574;BKZ;Sales Order Processing with Invoice List and Collective Billing
575;BD3;Sales Processing using Third-Party with Shipping Notification
576;4R6;Sales Processing using Third-Party with Variant Configuration
577;BDK;Sales Processing Using Third-Party Without Shipping Notification
578;BDG;Sales Quotation
579;1B6;Sales Rebate Processing
580;4LZ;Sales Scheduling Agreement with Consignment
581;3NR;Sales Scheduling Agreements
582;6KO;SAP Customer Experience Entities with SAP Service and Sales Cloud
583;1BS;SAP Fiori Analytical Apps for Sales
584;4H2;Self-Billing
585;BD9;Sell from Stock
586;5HL;Sell from Stock - Consumer Products
587;5MQ;Sell from stock with valuated stock in transit
588;4GT;Solution Order Management
589;6HY;Solution Order Management with Advanced Variant Configuration
590;6BV;Solution Order Quotation Management with SAP CPQ
591;57Z;Subscription Management with Sales Billing
592;3MO;Service Contract Management
593;6GU;Service Contract Management with Advanced Variant Configuration
594;43B;Service Monitoring and Analytics
595;63Y;Warranty Claim Management - Customer Claim Processing
596;5HR;Warranty Claim Management - Supplier Recovery Processing
597;4GG;Credit Memo Processing for Service Management
598;3XK;In-house Repair
599;53Y;Intercompany Billing for Service Documents
600;3NI;Procurement for Service Management
601;4X5;Recurring Services
602;6GS;Service Management with Advanced Variant Configuration
603;3D2;Service Order Management and Monitoring
604;49X;Service Order processing with SAP Field Service Management
605;4GA;Service Quotation
